CartID,Index,RawPos,MovingAverage
38,1359,-0.106149,-0.106149
38,1360,-0.099296,-0.099296
38,1361,-0.099296,-0.099296
38,1362,-0.095523,-0.095523
38,1363,-0.092153,-0.092153
38,1364,-0.092153,-0.092153
38,1365,-0.088775,-0.06587825
38,1366,-0.085338,-0.06460880952380951
38,1367,-0.085338,-0.06325636363636365
38,1368,-0.082097,-0.061822478260869576
38,1369,-0.078985,-0.06050808333333332
38,1370,-0.078985,-0.05911164
38,1371,-0.075507,-0.05763869230769233
38,1372,-0.071963,-0.056274851851851854
38,1373,-0.071963,-0.054840392857142865
38,1374,-0.06821,-0.053341379310344834
38,1375,-0.06413300000000001,-0.0519423
38,1376,-0.06413300000000001,-0.050482870967741934
38,1377,-0.060107000000000015,-0.048963375
38,1378,-0.055977,-0.0475359696969697
38,1379,-0.055977,-0.046048882352941176
38,1380,-0.051842,-0.044621485714285716
38,1381,-0.047745,-0.04327338888888889
38,1382,-0.047745,-0.041924675675675684
38,1383,-0.043525,-0.04057260526315789
38,1384,-0.03922,-0.0392898717948718
38,1385,-0.03922,-0.037978575
38,1386,-0.034855000000000004,-0.035350824999999995
38,1387,-0.030277,-0.032809
38,1388,-0.030277,-0.030122525
38,1389,-0.025597,-0.02743855
38,1390,-0.020815,-0.024832375
38,1391,-0.020815,-0.022078925
38,1392,-0.01611,-0.0193167
38,1393,-0.011369,-0.016643075
38,1394,-0.011369,-0.013803199999999998
38,1395,-0.0067,-0.010967775
38,1396,-0.001859,-0.008234275
38,1397,-0.001859,-0.0053352
38,1398,0.003025,-0.0024308499999999987
38,1399,0.00391,0.00037025000000000084
38,1400,0.00391,0.003354000000000001
38,1401,0.006629,0.006340650000000001
38,1402,0.009454,0.009224875
38,1403,0.009454,0.012267825
38,1404,0.013162,0.015327100000000001
38,1405,0.016335,0.01827875
38,1406,0.016335,0.0214037
38,1407,0.022121,0.02453085
38,1408,0.025262,0.02754355
38,1409,0.025262,0.030723125
38,1410,0.031153,0.033902475
38,1411,0.034982,0.036962275
38,1412,0.034982,0.040207724999999986
38,1413,0.041632,0.043464325
38,1414,0.045207,0.0466024
38,1415,0.045207,0.049910325
38,1416,0.05183,0.05323134999999999
38,1417,0.056067,0.056431349999999984
38,1418,0.056067,0.05982735
38,1419,0.063373,0.06320432499999999
38,1420,0.067624,0.066559175
38,1421,0.067624,0.07010259999999999
38,1422,0.073973,0.07369880000000001
38,1423,0.078846,0.07722437499999997
38,1424,0.078846,0.08094512499999999
38,1425,0.085778,0.08469750000000001
38,1426,0.090231,0.08837054999999999
38,1427,0.090231,0.092245425
38,1428,0.096906,0.096104475
38,1429,0.101577,0.099885
38,1430,0.101577,0.103871
38,1431,0.109003,0.10784059999999998
38,1432,0.114154,0.111714475
38,1433,0.114154,0.11579845
38,1434,0.120948,0.1198501
38,1435,0.126141,0.12381237499999995
38,1436,0.126141,0.127988825
38,1437,0.133981,0.132136075
38,1438,0.138104,0.13617739999999998
38,1439,0.138104,0.140438225
38,1440,0.145647,0.1446693
38,1441,0.150477,0.1487941
38,1442,0.150477,0.153122175
38,1443,0.15828399999999998,0.15743275
38,1444,0.163257,0.1616215
38,1445,0.163257,0.16603557500000002
38,1446,0.17132999999999998,0.170432625
38,1447,0.176483,0.17471835
38,1448,0.176483,0.17922695
38,1449,0.184702,0.1837108
38,1450,0.189937,0.188077875
38,1451,0.189937,0.19265755
38,1452,0.198341,0.197213975
38,1453,0.203698,0.201641625
38,1454,0.203698,0.206298725
38,1455,0.212265,0.21093145
38,1456,0.21772,0.21543435
38,1457,0.21772,0.220155025
38,1458,0.2265,0.22483025000000004
38,1459,0.232616,0.2294024
38,1460,0.232616,0.23423035
38,1461,0.240747,0.239002725
38,1462,0.246396,0.24365435
38,1463,0.246396,0.248547275
38,1464,0.255409,0.253398
38,1465,0.26166,0.25812440000000003
38,1466,0.26166,0.2631107
38,1467,0.270575,0.26807659999999994
38,1468,0.27626,0.272913675
38,1469,0.27626,0.27795230000000004
38,1470,0.284764,0.28297245000000004
38,1471,0.29126,0.287861725
38,1472,0.29126,0.292957625
38,1473,0.30043800000000004,0.297970225
38,1474,0.306257,0.3028489
38,1475,0.306257,0.308012025
38,1476,0.314968,0.3131252
38,1477,0.32099,0.318102
38,1478,0.32099,0.32335364999999994
38,1479,0.331222,0.3285486
38,1480,0.336542,0.33359065
38,1481,0.336542,0.3388673
38,1482,0.346194,0.344158125
38,1483,0.352313,0.349307725
38,1484,0.352313,0.354647875
38,1485,0.362709,0.35993335000000004
38,1486,0.369966,0.36506255
38,1487,0.369966,0.37046305
38,1488,0.378028,0.375809775
38,1489,0.385508,0.381014375
38,1490,0.385508,0.3864515
38,1491,0.393773,0.39185615
38,1492,0.398845,0.3970984
38,1493,0.398845,0.40263455
38,1494,0.410223,0.4080769249999999
38,1495,0.416792,0.413373825
38,1496,0.416792,0.418925625
38,1497,0.427786,0.424436725
38,1498,0.434298,0.429797275
38,1499,0.434298,0.435471825
38,1500,0.443682,0.4410682
38,1501,0.45238,0.446531575
38,1502,0.45238,0.4522562000000001
38,1503,0.460002,0.45787235
38,1504,0.466828,0.463335525
38,1505,0.466828,0.4690086750000001
38,1506,0.47768,0.474421925
38,1507,0.484444,0.479929025
38,1508,0.484444,0.485624375
38,1509,0.493745,0.491327525
38,1510,0.50095,0.496843675
38,1511,0.50095,0.50258555
38,1512,0.512706,0.50832405
38,1513,0.518133,0.51393575
38,1514,0.518133,0.51976955
38,1515,0.528329,0.525487375
38,1516,0.535412,0.531040975
38,1517,0.535412,0.53687805
38,1518,0.547972,0.54255985
38,1519,0.555077,0.5480788499999999
38,1520,0.555077,0.55386645
38,1521,0.565527,0.559583575
38,1522,0.57084,0.56508325
38,1523,0.57084,0.5708553249999999
38,1524,0.5792390000000001,0.576574875
38,1525,0.5792390000000001,0.582123775
38,1526,0.59025,0.58791815
38,1527,0.59778,0.5936098999999999
38,1528,0.606154,0.59913255
38,1529,0.606154,0.604890625
38,1530,0.615183,0.6105648
38,1531,0.623313,0.61605885
38,1532,0.623313,0.6217731750000001
38,1533,0.632197,0.627358225
38,1534,0.638936,0.6328076
38,1535,0.638936,0.638486825
