CartID,Index,RawPos,MovingAverage,OrigFilter
14,2,0.714788,0.714788,0.714788
14,3,0.714781,0.714779523809524,0.714781
14,4,0.714793,0.714779818181818,0.714793
14,5,0.714793,0.714780086956521,0.714793
14,6,0.714781,0.714779916666667,0.714781
14,7,0.714783,0.71477976,0.714783
14,8,0.714783,0.714779423076923,0.714783
14,9,0.714788,0.714779037037037,0.714788
14,10,0.714781,0.714778678571429,0.71478
14,11,0.714781,0.714778379310345,0.71478
14,12,0.714779,0.7147782,0.714779
14,13,0.71478,0.714778032258065,0.714779
14,14,0.71478,0.71477784375,0.714778
14,15,0.714768,0.714777393939394,0.714776
14,16,0.714769,0.714776970588235,0.714775
14,17,0.714769,0.7147768,0.714774
14,18,0.714772,0.714776666666667,0.714773
14,19,0.714768,0.714776540540541,0.714771
14,20,0.714768,0.714776736842105,0.71477
14,21,0.714785,0.714776846153846,0.714771
14,22,0.71478,0.71477695,0.714771
14,23,0.714786,0.71477655,0.714771
14,24,0.714786,0.71477625,0.714772
14,25,0.714776,0.71477565,0.714772
14,26,0.714776,0.714774825,0.714771
14,27,0.714771,0.714774075,0.71477
14,28,0.714769,0.714773275,0.71477
14,29,0.714769,0.71477295,0.714769
14,30,0.71477,0.71477255,0.714768
14,31,0.714773,0.714772325,0.714768
14,32,0.714773,0.71477225,0.714767
14,33,0.714772,0.7147723,0.714767
14,34,0.714763,0.714772325,0.714766
14,35,0.714763,0.714772575,0.714765
14,36,0.714771,0.7147733,0.714765
14,37,0.714772,0.714774,0.714765
14,38,0.714772,0.71477425,0.714765
14,39,0.714784,0.714774325,0.714766
14,40,0.714781,0.7147745,0.714767
14,41,0.714781,0.714774675,0.714767
14,42,0.714772,0.714774475,0.714767
14,43,0.714769,0.7147744,0.714766
14,44,0.714769,0.71477435,0.714766
14,45,0.71476,0.71477415,0.714764
14,46,0.714751,0.7147742,0.714762
14,47,0.714751,0.714774275,0.71476
14,48,0.71477,0.7147744,0.714761
14,49,0.714772,0.714774575,0.714761
14,50,0.714772,0.71477425,0.714761
14,51,0.714778,0.714773875,0.714762
14,52,0.714781,0.714773425,0.714763
14,53,0.714781,0.714773,0.714764
14,54,0.71479,0.7147725,0.714766
14,55,0.714797,0.7147724,0.714769
14,56,0.714797,0.7147723,0.714771
14,57,0.714779,0.714772,0.714771
14,58,0.714775,0.714771675,0.71477
14,59,0.714775,0.714771625,0.71477
14,60,0.714775,0.714771375,0.71477
14,61,0.714777,0.7147712,0.71477
14,62,0.714777,0.714771125,0.71477
14,63,0.714784,0.7147711,0.71477
14,64,0.714778,0.71477115,0.71477
14,65,0.714778,0.714771275,0.71477
14,66,0.714779,0.7147716,0.71477
14,67,0.714776,0.71477215,0.71477
14,68,0.714776,0.71477245,0.71477
14,69,0.714756,0.7147722,0.714768
14,70,0.714755,0.7147719,0.714766
14,71,0.714755,0.71477155,0.714764
14,72,0.714756,0.71477105,0.714762
14,73,0.714752,0.714770475,0.714761
14,74,0.714759,0.71477015,0.714759
14,75,0.714759,0.7147696,0.714758
14,76,0.714759,0.714768875,0.714757
14,77,0.714759,0.71476795,0.714757
14,78,0.71477,0.7147676,0.714757
14,79,0.714774,0.71476735,0.714758
14,80,0.714774,0.71476705,0.714759
14,81,0.714778,0.714766725,0.71476
14,82,0.714771,0.71476635,0.71476
14,83,0.714771,0.714766275,0.714761
14,84,0.714774,0.714766025,0.714761
14,85,0.714773,0.714765925,0.714762
14,86,0.714773,0.71476545,0.714762
14,87,0.714763,0.71476475,0.714761
14,88,0.71476,0.714764125,0.71476
14,89,0.71476,0.7147636,0.71476
14,90,0.714758,0.714763725,0.714759
14,91,0.714758,0.714763875,0.714758
14,92,0.714758,0.714764025,0.714757
14,93,0.714768,0.71476435,0.714757
14,94,0.714768,0.714764775,0.714758
14,95,0.714768,0.71476515,0.714758
14,96,0.71476,0.714765525,0.714757
14,97,0.714765,0.7147659,0.714757
14,98,0.714765,0.7147662,0.714757
14,99,0.714763,0.7147662,0.714757
14,100,0.714762,0.7147661,0.714757
14,101,0.714762,0.71476615,0.714757
14,102,0.714774,0.714766175,0.714758
14,103,0.714774,0.714766375,0.714759
14,104,0.714774,0.714766575,0.714759
14,105,0.714759,0.714766725,0.714759
14,106,0.714751,0.7147669,0.714757
14,107,0.714751,0.71476735,0.714756
14,108,0.714755,0.714768125,0.714755
14,109,0.714761,0.714768975,0.714755
14,110,0.714761,0.714769925,0.714754
14,111,0.714761,0.7147707,0.714754
14,112,0.714769,0.714771475,0.714755
14,113,0.714769,0.714772175,0.714756
14,114,0.714774,0.714772375,0.714757
14,115,0.714774,0.714772575,0.714758
14,116,0.714774,0.714772575,0.714759
14,117,0.714771,0.714772675,0.714759
14,118,0.71477,0.71477265,0.714759
14,119,0.71477,0.714772975,0.71476
14,120,0.714776,0.714773075,0.71476
14,121,0.714779,0.7147732,0.714762
14,122,0.714779,0.71477325,0.714763
14,123,0.714779,0.714773025,0.714763
14,124,0.71478,0.714772625,0.714764
14,125,0.71478,0.714772225,0.714765
14,126,0.714791,0.7147724,0.714767
14,127,0.714794,0.7147728,0.714769
14,128,0.714794,0.7147732,0.714771
14,129,0.714798,0.714773525,0.714773
14,130,0.714789,0.7147737,0.714773
14,131,0.714789,0.714773975,0.714774
14,132,0.714786,0.71477435,0.714775
14,133,0.714776,0.714774525,0.714774
14,134,0.714776,0.71477445,0.714773
14,135,0.714768,0.714774375,0.714772
14,136,0.714764,0.7147743,0.71477
14,137,0.714764,0.71477435,0.714769
14,138,0.714778,0.71477435,0.714769
14,139,0.714767,0.714774375,0.714768
14,140,0.714767,0.714774525,0.714767
14,141,0.714764,0.714774525,0.714766
14,142,0.714765,0.71477445,0.714765
14,143,0.714758,0.714774275,0.714764
14,144,0.714758,0.714773875,0.714763
14,145,0.714766,0.71477345,0.714762
14,146,0.714767,0.71477365,0.714762
14,147,0.714767,0.714773525,0.714762
14,148,0.714768,0.714773325,0.714762
14,149,0.714768,0.714773125,0.714761
14,150,0.714772,0.71477275,0.714762
14,151,0.714776,0.7147726,0.714762
14,152,0.714776,0.7147726,0.714763
14,153,0.714766,0.714772675,0.714763
14,154,0.714771,0.714773,0.714763
14,155,0.714771,0.7147733,0.714763
14,156,0.714776,0.71477375,0.714763
14,157,0.714771,0.7147743,0.714763
14,158,0.714771,0.714775225,0.714763
14,159,0.714776,0.7147757,0.714764
14,160,0.714776,0.71477645,0.714764
14,161,0.714776,0.714777025,0.714764
14,162,0.714772,0.714777675,0.714764
14,163,0.714763,0.7147783,0.714763
14,164,0.714763,0.714778875,0.714763
14,165,0.714788,0.714779475,0.714764
14,166,0.714786,0.714779875,0.714766
14,167,0.714786,0.7147804,0.714767
14,168,0.714786,0.7147809,0.714768
14,169,0.714783,0.714781375,0.714769
14,170,0.714783,0.71478165,0.714769
14,171,0.714789,0.714782,0.714771
14,172,0.714789,0.71478225,0.714772
14,173,0.714789,0.7147827,0.714773
14,174,0.714788,0.71478355,0.714773
14,175,0.714786,0.714784275,0.714774
14,176,0.714786,0.714785325,0.714774
14,177,0.714801,0.71478595,0.714776
14,178,0.714797,0.7147867,0.714777
14,179,0.714797,0.714787325,0.714779
14,180,0.71479,0.7147879,0.714779
14,181,0.71479,0.714788475,0.714779
14,182,0.71479,0.714788825,0.71478
14,183,0.714781,0.71478915,0.714779
14,184,0.714782,0.7147897,0.714779
14,185,0.714782,0.71479,0.714778
14,186,0.714788,0.7147895,0.714778
14,187,0.714787,0.71478905,0.714778
14,188,0.714787,0.71478865,0.714778
14,189,0.714779,0.71478845,0.714778
14,190,0.714786,0.714788375,0.714778
14,191,0.714786,0.7147883,0.714778
14,192,0.714794,0.714788225,0.714779
